name,url,maker,maker lastname,headline,completeness
"The 50 Pack Podcast A Conversation with D'Shaun, & Frito Gangs Kid Wave & Steven Jets",soundcloud.com,,,,No name
Drink Champs Episode 4 w/ Gunplay and Capone,play.it,,,,No name
Rapchat 3.0,rapchat.me,Seth,Miller,Co-Founder & CEO @ Rapchat,Full
Digging Into HipHop,dihh.io,Valentin,Ledrapier,,Full
Hip Hop's NBA Name Drops,pureinformation.net,,,,No name
Poly-graph Hip Hop,poly-graph.co,Matt,Daniels,Associate Strategy Director,Full
Colour Me Good Hip Hop,amazon.com,,,,No name
The Rap Year Book,amazon.com,,,,No name
Rhymeo,rhymeo.co,Justin,Ponczek,"CEO, Rhymeo",Full
RapKey,rapkey.co,Ativ,,"LIT, RapKey & Mento",Invalid name
White Label,hydricmedia.com,Stephen,Phillips,"Wonder.fm, theHash.today",Full
CrateStream,cratestream.com,Napoleon,Suarez,"Founder, Fishbox",Full
Rap Board,therapboard.com,,,,No name
The Rap Test,theraptest.com,Chris,Barrett,"Founder, PRserve.com, TheRapTest.com",Full
